table,_time,_value,dst,dstp,proto,src,srcp,url
4,2021-12-13T08:12:44.6953591Z,40.0,94.234.170.115,nut,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-12T16:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-12T17:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-12T18:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-12T19:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-12T20:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-12T21:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-12T22:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-12T23:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-13T00:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-13T01:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-13T02:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-13T03:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-13T04:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-13T05:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-13T06:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-13T07:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-13T08:00:00Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
5,2021-12-13T08:12:44.6953591Z,252.0,94.234.170.115,postgresql,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-12T16:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-12T17:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-12T18:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-12T19:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-12T20:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-12T21:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-12T22:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-12T23:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-13T00:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-13T01:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-13T02:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-13T03:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-13T04:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-13T05:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-13T06:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-13T07:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-13T08:00:00Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
6,2021-12-13T08:12:44.6953591Z,252.0,94.234.170.115,rfe,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
7,2021-12-10T03:00:00Z,48.0,94.234.170.123,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
7,2021-12-10T04:00:00Z,48.0,94.234.170.123,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
7,2021-12-10T05:00:00Z,48.0,94.234.170.123,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
7,2021-12-10T06:00:00Z,48.0,94.234.170.123,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
7,2021-12-10T07:00:00Z,48.0,94.234.170.123,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
7,2021-12-10T08:00:00Z,48.0,94.234.170.123,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
7,2021-12-10T09:00:00Z,48.0,94.234.170.123,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
7,2021-12-10T10:00:00Z,48.0,94.234.170.123,cfengine,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
8,2021-12-10T05:00:00Z,252.0,94.234.170.123,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
8,2021-12-10T06:00:00Z,252.0,94.234.170.123,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
8,2021-12-10T07:00:00Z,252.0,94.234.170.123,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
8,2021-12-10T08:00:00Z,252.0,94.234.170.123,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
8,2021-12-10T09:00:00Z,252.0,94.234.170.123,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
8,2021-12-10T10:00:00Z,252.0,94.234.170.123,mdns,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-09T17:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-09T18:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-09T19:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-09T20:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-09T21:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-09T22:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-09T23:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-10T00:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-10T01:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-10T02:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-10T03:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-10T04:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-10T05:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-10T06:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-10T07:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-10T08:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-10T09:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
9,2021-12-10T10:00:00Z,252.0,94.234.170.123,munin,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
10,2021-12-09T20:00:00Z,252.0,94.234.170.124,daap,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
10,2021-12-09T21:00:00Z,252.0,94.234.170.124,daap,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
10,2021-12-09T22:00:00Z,252.0,94.234.170.124,daap,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
10,2021-12-09T23:00:00Z,252.0,94.234.170.124,daap,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
10,2021-12-10T00:00:00Z,252.0,94.234.170.124,daap,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
10,2021-12-10T01:00:00Z,252.0,94.234.170.124,daap,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
10,2021-12-10T02:00:00Z,252.0,94.234.170.124,daap,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
10,2021-12-10T03:00:00Z,252.0,94.234.170.124,daap,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
10,2021-12-10T04:00:00Z,252.0,94.234.170.124,daap,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
10,2021-12-10T05:00:00Z,252.0,94.234.170.124,daap,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
10,2021-12-10T06:00:00Z,252.0,94.234.170.124,daap,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
10,2021-12-10T07:00:00Z,252.0,94.234.170.124,daap,tcp,demo.riotlocal,iotserver-exchange,http://demo.riotsecure.io:7888/metrics
